frame,cap_ms,pnp_ms,upload_ms,swap_ms,found,t_x,t_y,t_z,r_x,r_y,r_z,reproj_mean,reproj_median,reproj_max
0,478.980,478.980,519.676,532.737,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
1,643.873,643.873,664.596,674.042,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
2,683.740,683.740,703.017,707.042,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
3,710.545,710.545,726.928,728.846,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
4,744.160,744.160,762.695,764.489,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
5,778.033,778.033,796.003,797.678,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
6,811.441,811.441,828.041,829.739,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
7,846.330,846.330,865.097,866.787,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
8,876.925,876.925,894.049,895.750,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
9,910.174,910.174,927.132,928.733,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
10,944.029,944.029,960.700,962.385,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
11,976.299,976.299,993.889,995.525,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
12,1011.134,1011.134,1028.105,1029.819,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
13,1043.878,1043.878,1060.086,1061.715,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
14,1079.154,1079.154,1095.451,1097.137,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
15,1112.969,1112.969,1130.915,1132.558,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
16,1143.671,1143.671,1160.067,1161.738,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
17,1178.563,1178.563,1194.912,1196.611,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
18,1212.523,1212.523,1229.900,1231.564,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
19,1246.003,1246.003,1261.374,1263.162,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
20,1277.676,1277.676,1293.999,1295.633,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
21,1309.240,1309.240,1324.268,1325.755,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
22,1344.022,1344.022,1360.422,1362.066,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
23,1375.531,1375.531,1392.818,1394.376,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
24,1410.261,1410.261,1427.125,1428.741,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
25,1444.857,1444.857,1459.614,1461.222,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
26,1478.743,1478.743,1496.615,1498.273,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
